n_year,nombre_estado,cve_ent,genero,pob_start_year,pob_mid_year
1973,Guanajuato,11,Total,2579336,2611441
1973,Guerrero,12,Hombres,926521,938298
1973,Guerrero,12,Mujeres,922308,933620
1973,Guerrero,12,Total,1848829,1871918
1973,Hidalgo,13,Hombres,683083,691167
1973,Hidalgo,13,Mujeres,672527,680033
1973,Hidalgo,13,Total,1355610,1371200
1973,Jalisco,14,Hombres,1865927,1890282
1973,Jalisco,14,Mujeres,1898922,1924882
1973,Jalisco,14,Total,3764849,3815164
1973,Michoacán,16,Hombres,1315536,1327745
1973,Michoacán,16,Mujeres,1305143,1318603
1973,Michoacán,16,Total,2620679,2646348
1973,Morelos,17,Hombres,364432,371814
1973,Morelos,17,Mujeres,364282,371738
1973,Morelos,17,Total,728714,743552
1973,Nacional,00,Hombres,27798111,28213599
1973,Nacional,00,Mujeres,27779878,28200966
1973,Nacional,00,Total,55577989,56414565
1973,Nayarit,18,Hombres,312299,316430
1973,Nayarit,18,Mujeres,302209,306329
1973,Nayarit,18,Total,614508,622759
1973,Nuevo León,19,Hombres,986028,1004058
1973,Nuevo León,19,Mujeres,972635,990638
1973,Nuevo León,19,Total,1958663,1994696
1973,Oaxaca,20,Hombres,1135058,1143399
1973,Oaxaca,20,Mujeres,1141962,1149428
1973,Oaxaca,20,Total,2277020,2292827
1973,Puebla,21,Hombres,1449544,1468210
1973,Puebla,21,Mujeres,1458342,1477424
1973,Puebla,21,Total,2907886,2945634
1973,Querétaro,22,Hombres,288343,294097
1973,Querétaro,22,Mujeres,284809,290479
1973,Querétaro,22,Total,573152,584576
1973,Quintana Roo,23,Hombres,63859,67003
1973,Quintana Roo,23,Mujeres,58774,61679
1973,Quintana Roo,23,Total,122633,128682
1973,San Luis Potosí,24,Hombres,738464,747253
1973,San Luis Potosí,24,Mujeres,722525,731498
1973,San Luis Potosí,24,Total,1460989,1478751
1973,Sinaloa,25,Hombres,744678,757742
1973,Sinaloa,25,Mujeres,713517,726397
1973,Sinaloa,25,Total,1458195,1484139
1973,Sonora,26,Hombres,632861,642300
1973,Sonora,26,Mujeres,620916,629700
1973,Sonora,26,Total,1253777,1272000
1973,Tabasco,27,Hombres,445954,452639
1973,Tabasco,27,Mujeres,431336,437827
1973,Tabasco,27,Total,877290,890466
1973,Tamaulipas,28,Hombres,818490,828786
1973,Tamaulipas,28,Mujeres,820457,830945
1973,Tamaulipas,28,Total,1638947,1659731
1973,Tlaxcala,29,Hombres,242176,245039
1973,Tlaxcala,29,Mujeres,235159,238175
1973,Tlaxcala,29,Total,477335,483214
1973,Veracruz,30,Hombres,2229683,2264979
1973,Veracruz,30,Mujeres,2194615,2230228
1973,Veracruz,30,Total,4424298,4495207
1973,Yucatán,31,Hombres,443824,450673
1973,Yucatán,31,Mujeres,440408,447072
1973,Yucatán,31,Total,884232,897745
1973,Zacatecas,32,Hombres,524594,528936
1973,Zacatecas,32,Mujeres,522378,526962
1973,Zacatecas,32,Total,1046972,1055898
1974,Aguascalientes,01,Hombres,206104,210274
1974,Aguascalientes,01,Mujeres,209397,213689
1974,Aguascalientes,01,Total,415501,423963
1974,Baja California,02,Hombres,505987,512774
1974,Baja California,02,Mujeres,507316,514392
