cve_concatenada,sequia,racha,full_date_start_racha,full_date_end_racha,racha_dias
7002,D0,12,2021-10-15,2022-03-31,167 days
7002,D1,9,2004-09-30,2005-05-31,243 days
7002,D2,6,2009-12-31,2010-05-31,151 days
7002,Sin sequia,18,2011-07-31,2012-12-31,519 days
7003,D0,6,2008-10-31,2009-03-31,151 days
7003,D1,11,2015-06-30,2015-11-30,153 days
7003,D2,8,2016-04-30,2016-08-15,107 days
7003,D3,2,2010-05-31,2010-06-30,30 days
7003,Sin sequia,31,2010-08-31,2013-02-28,912 days
7004,D0,25,2017-01-15,2018-01-15,365 days
7004,D1,24,2016-01-15,2016-12-31,351 days
7004,D2,8,2019-01-31,2019-05-15,104 days
7004,Sin sequia,20,2011-07-31,2013-02-28,578 days
7005,D0,5,2003-02-28,2003-06-30,122 days
7005,D1,8,2004-09-30,2005-04-30,212 days
7005,D2,4,2009-09-30,2009-12-31,92 days
7005,D3,5,2018-08-31,2018-10-31,61 days
7005,Sin sequia,53,2020-05-31,2022-07-31,791 days
7006,D0,9,2015-03-31,2015-07-31,122 days
7006,D1,7,2018-07-15,2018-10-15,92 days
7006,D2,3,2009-09-30,2009-11-30,61 days
7006,Sin sequia,60,2011-05-31,2015-03-15,1384 days
7007,D0,10,2015-02-15,2015-06-30,135 days
7007,D1,7,2004-09-30,2005-03-31,182 days
7007,D2,7,2009-09-30,2010-03-31,182 days
7007,Sin sequia,20,2011-07-31,2013-02-28,578 days
7008,D0,22,2017-02-28,2018-01-15,321 days
7008,D1,7,2004-09-30,2005-03-31,182 days
7008,D2,6,2010-01-31,2010-06-30,150 days
7008,Sin sequia,23,2011-05-31,2013-03-31,670 days
7009,D0,11,2020-11-30,2021-04-30,151 days
7009,D1,15,2023-09-30,2024-04-30,213 days
7009,D2,5,2010-01-31,2010-05-31,120 days
7009,Sin sequia,30,2010-07-31,2012-12-31,884 days
7010,D0,15,2015-03-31,2015-10-31,214 days
7010,D1,6,2016-04-15,2016-06-30,76 days
7010,D2,3,2009-09-30,2009-11-30,61 days
7010,Sin sequia,60,2011-05-31,2015-03-15,1384 days
7011,D0,9,2021-09-30,2022-01-31,123 days
7011,D1,8,2019-06-15,2019-09-30,107 days
7011,D2,3,2009-09-30,2009-11-30,61 days
7011,Sin sequia,60,2011-05-31,2015-03-15,1384 days
7012,D0,13,2019-11-15,2020-05-15,182 days
7012,D1,8,2004-10-31,2005-05-31,212 days
7012,D2,2,2009-12-31,2010-01-31,31 days
7012,D3,1,2010-02-28,2010-02-28,0 days
7012,Sin sequia,44,2013-05-31,2015-07-15,775 days
7013,D0,13,2019-11-15,2020-05-15,182 days
7013,D1,9,2004-09-30,2005-05-31,243 days
7013,D2,2,2009-09-30,2009-10-31,31 days
7013,D3,1,2010-02-28,2010-02-28,0 days
