nombre_estado,cve_ent,n_month,normal_pr_mm,normal_cumsum_pr_mm
Querétaro,22,03,9.198471186095198,32.812243634218035
Querétaro,22,04,22.378925517295443,55.19116915151348
Querétaro,22,05,46.342152867171315,101.5333220186848
Querétaro,22,06,100.2058732514547,201.7391952701395
Querétaro,22,07,129.6175968488951,331.3567921190346
Querétaro,22,08,103.89679780754199,435.2535899265766
Querétaro,22,09,123.33320797692697,558.5867979035036
Querétaro,22,10,60.416696102086625,619.0034940055901
Querétaro,22,11,15.756914150914003,634.7604081565041
Querétaro,22,12,8.356701419588159,643.1171095760923
Quintana Roo,23,01,53.65099020437712,53.65099020437712
Quintana Roo,23,02,38.409069559831885,92.060059764209
Quintana Roo,23,03,39.91687646909058,131.97693623329957
Quintana Roo,23,04,37.896827860627056,169.87376409392664
Quintana Roo,23,05,115.2952625528132,285.16902664673984
Quintana Roo,23,06,174.96036131985744,460.1293879665973
Quintana Roo,23,07,138.04776366233492,598.1771516289322
Quintana Roo,23,08,158.98730729884207,757.1644589277743
Quintana Roo,23,09,202.9348065407176,960.0992654684919
Quintana Roo,23,10,170.74496514960177,1130.8442306180937
Quintana Roo,23,11,89.70602597711985,1220.5502565952136
Quintana Roo,23,12,64.80730185040215,1285.3575584456157
San Luis Potosí,24,01,17.264542994952215,17.264542994952215
San Luis Potosí,24,02,11.69745550444468,28.961998499396895
San Luis Potosí,24,03,10.230851451257593,39.19284995065449
San Luis Potosí,24,04,23.23461253305769,62.427462483712176
San Luis Potosí,24,05,49.35989620080695,111.78735868451912
San Luis Potosí,24,06,95.11963220815177,206.90699089267088
San Luis Potosí,24,07,108.65021820355673,315.5572090962276
San Luis Potosí,24,08,84.92748343087924,400.48469252710686
San Luis Potosí,24,09,115.28887131755076,515.7735638446576
San Luis Potosí,24,10,57.0476194143874,572.821183259045
San Luis Potosí,24,11,17.31389752656235,590.1350807856073
San Luis Potosí,24,12,13.706238783911642,603.841319569519
Sinaloa,25,01,24.909605321780163,24.909605321780163
Sinaloa,25,02,12.500872820947597,37.41047814272776
Sinaloa,25,03,5.403298040496496,42.813776183224256
Sinaloa,25,04,1.858619081792173,44.672395265016426
Sinaloa,25,05,1.7157192038778901,46.388114468894315
Sinaloa,25,06,38.62728422953397,85.01539869842829
Sinaloa,25,07,178.33147393581677,263.3468726342451
Sinaloa,25,08,187.57542410715024,450.9222967413953
Sinaloa,25,09,144.8838975878035,595.8061943291988
Sinaloa,25,10,51.93918051113838,647.7453748403371
Sinaloa,25,11,18.12923788024785,665.874612720585
Sinaloa,25,12,27.776612963594808,693.6512256841798
Sonora,26,01,24.798107752370093,24.798107752370093
Sonora,26,02,18.735173402617217,43.53328115498731
Sonora,26,03,12.038776557492692,55.57205771248
Sonora,26,04,3.7698449957295184,59.341902708209524
Sonora,26,05,2.0633205226705136,61.40522323088004
Sonora,26,06,12.437900329579174,73.84312356045922
Sonora,26,07,94.94751041949024,168.79063397994946
Sonora,26,08,91.24235532870291,260.03298930865236
Sonora,26,09,50.47501561038421,310.5080049190366
Sonora,26,10,20.45074970032291,330.95875461935947
Sonora,26,11,13.613206692091351,344.5719613114508
Sonora,26,12,30.920211134346264,375.4921724457971
Tabasco,27,01,118.79882216330004,118.79882216330004
Tabasco,27,02,87.89047729085229,206.68929945415232
Tabasco,27,03,51.44824857094542,258.1375480250977
Tabasco,27,04,43.66364755137824,301.80119557647595
Tabasco,27,05,112.19231734644113,413.9935129229171
Tabasco,27,06,226.39655412964953,640.3900670525666
Tabasco,27,07,178.23011903202388,818.6201860845904
Tabasco,27,08,231.61453279497158,1050.234718879562
Tabasco,27,09,328.88909491335875,1379.1238137929208
Tabasco,27,10,301.4854513263178,1680.6092651192387
Tabasco,27,11,170.39880958261833,1851.008074701857
Tabasco,27,12,140.3726376969362,1991.380712398793
Tamaulipas,28,01,23.17955983272758,23.17955983272758
Tamaulipas,28,02,18.281856032319226,41.4614158650468
Tamaulipas,28,03,17.478009554003087,58.93942541904989
Tamaulipas,28,04,35.501336067142034,94.44076148619192
Tamaulipas,28,05,70.30130512357992,164.74206660977183
Tamaulipas,28,06,99.59853828569065,264.3406048954625
Tamaulipas,28,07,96.18165896071675,360.5222638561792
Tamaulipas,28,08,85.62214630794047,446.1444101641197
Tamaulipas,28,09,139.9758179540897,586.1202281182094
Tamaulipas,28,10,70.13673534955639,656.2569634677658
Tamaulipas,28,11,24.956507143184524,681.2134706109503
Tamaulipas,28,12,20.88502039680168,702.0984910077519
Tlaxcala,29,01,9.575561574677929,9.575561574677929
Tlaxcala,29,02,8.496858790331238,18.072420365009165
Tlaxcala,29,03,12.3118959340402,30.384316299049367
Tlaxcala,29,04,35.43816368555844,65.82247998460781
Tlaxcala,29,05,75.8778022019688,141.7002821865766
Tlaxcala,29,06,128.15488454395208,269.8551667305287
Tlaxcala,29,07,127.32294590387902,397.17811263440774
Tlaxcala,29,08,124.81045738866607,521.9885700230739
Tlaxcala,29,09,125.80610757259016,647.794677595664
Tlaxcala,29,10,61.63665923572372,709.4313368313877
Tlaxcala,29,11,17.93689849196299,727.3682353233507
Tlaxcala,29,12,7.980474074764974,735.3487093981157
Veracruz,30,01,46.53031624152483,46.53031624152483
Veracruz,30,02,42.05546602472629,88.58578226625113
Veracruz,30,03,29.299252928576646,117.88503519482778
Veracruz,30,04,40.72810159197405,158.61313678680182
Veracruz,30,05,86.29790978226167,244.9110465690635
Veracruz,30,06,227.4932799243423,472.4043264934058
Veracruz,30,07,272.8987228709215,745.3030493643273
Veracruz,30,08,261.0407125676265,1006.3437619319538
Veracruz,30,09,332.714632205972,1339.058394137926
Veracruz,30,10,213.56293259147662,1552.6213267294024
Veracruz,30,11,113.8987830516362,1666.5201097810386
Veracruz,30,12,72.16484265703978,1738.6849524380784
Yucatán,31,01,32.93612628449638,32.93612628449638
Yucatán,31,02,29.318024440197085,62.25415072469347
Yucatán,31,03,31.979979570427222,94.23413029512069
Yucatán,31,04,31.733549635917157,125.96767993103785
Yucatán,31,05,92.11608073046385,218.08376066150169
Yucatán,31,06,158.46233480521957,376.5460954667212
Yucatán,31,07,148.64928610421072,525.1953815709319
Yucatán,31,08,160.7381158759823,685.9334974469142
Yucatán,31,09,195.2229060090189,881.1564034559331
Yucatán,31,10,122.9836724099793,1004.1400758659124
Yucatán,31,11,48.75078960271772,1052.8908654686302
Yucatán,31,12,39.812894165896964,1092.7037596345272
Zacatecas,32,01,14.662096274951084,14.662096274951084
Zacatecas,32,02,8.241754289081808,22.903850564032894
Zacatecas,32,03,4.556325051847122,27.460175615880015
Zacatecas,32,04,7.194580240049038,34.654755855929054
Zacatecas,32,05,20.61794794221745,55.27270379814651
Zacatecas,32,06,74.40258312483462,129.67528692298112
Zacatecas,32,07,102.71207194949143,232.38735887247253
Zacatecas,32,08,95.65051328386835,328.0378721563409
Zacatecas,32,09,81.46997934958962,409.5078515059305
Zacatecas,32,10,33.092306406817606,442.6001579127481
Zacatecas,32,11,10.126880909164864,452.72703882191297
Zacatecas,32,12,12.270835686065286,464.9978745079783
