date_year,nombre_estado,cve_ent,nombre_municipio,cve_mun,hombres,mujeres,total
2015,Estado de México,15,Ixtapan de la Sal,15040,17256,18739,35995
2015,Estado de México,15,Ixtapan del Oro,15041,3525,3453,6978
2015,Estado de México,15,Ixtlahuaca,15042,73782,79014,152796
2015,Estado de México,15,Jaltenco,15044,14178,14967,29145
2015,Estado de México,15,Jilotepec,15045,43620,45045,88665
2015,Estado de México,15,Jilotzingo,15046,9423,9928,19351
2015,Estado de México,15,Jiquipilco,15047,35805,38146,73951
2015,Estado de México,15,Jocotitlán,15048,31975,34115,66090
2015,Estado de México,15,Joquicingo,15049,6710,7114,13824
2015,Estado de México,15,Juchitepec,15050,12532,12936,25468
2015,Estado de México,15,La Paz,15070,142057,146251,288308
2015,Estado de México,15,Lerma,15051,71861,73866,145727
2015,Estado de México,15,Luvianos,15123,14310,14748,29058
2015,Estado de México,15,Malinalco,15052,13588,14097,27685
2015,Estado de México,15,Melchor Ocampo,15053,27035,28252,55287
2015,Estado de México,15,Metepec,15054,113861,121312,235173
2015,Estado de México,15,Mexicaltzingo,15055,6158,6569,12727
2015,Estado de México,15,Morelos,15056,14555,15857,30412
2015,Estado de México,15,Naucalpan de Juárez,15057,430153,456308,886461
2015,Estado de México,15,Nextlalpan,15059,18860,19394,38254
2015,Estado de México,15,Nezahualcóyotl,15058,548367,586659,1135026
2015,Estado de México,15,Nicolás Romero,15060,197909,205437,403346
2015,Estado de México,15,Nopaltepec,15061,4658,4663,9321
2015,Estado de México,15,Ocoyoacac,15062,32807,33925,66732
2015,Estado de México,15,Ocuilan,15063,16663,17357,34020
2015,Estado de México,15,Otumba,15065,18091,17938,36029
2015,Estado de México,15,Otzoloapan,15066,2255,2224,4479
2015,Estado de México,15,Otzolotepec,15067,41322,42616,83938
2015,Estado de México,15,Ozumba,15068,14074,15228,29302
2015,Estado de México,15,Papalotla,15069,2051,2165,4216
2015,Estado de México,15,Polotitlán,15071,6923,7216,14139
2015,Estado de México,15,Rayón,15072,6628,6851,13479
2015,Estado de México,15,San Antonio la Isla,15073,13235,13671,26906
2015,Estado de México,15,San Felipe del Progreso,15074,66395,73693,140088
2015,Estado de México,15,San José del Rincón,15124,46878,47593,94471
2015,Estado de México,15,San Martín de las Pirámides,15075,13351,13685,27036
2015,Estado de México,15,San Mateo Atenco,15076,37825,39179,77004
2015,Estado de México,15,San Simón de Guerrero,15077,3053,3246,6299
2015,Estado de México,15,Santo Tomás,15078,4850,5011,9861
2015,Estado de México,15,Soyaniquilpan de Juárez,15079,6542,6673,13215
2015,Estado de México,15,Sultepec,15080,13035,14455,27490
2015,Estado de México,15,Tecámac,15081,210686,221528,432214
2015,Estado de México,15,Tejupilco,15082,38168,41325,79493
2015,Estado de México,15,Temamatla,15083,6187,6511,12698
2015,Estado de México,15,Temascalapa,15084,19548,19624,39172
2015,Estado de México,15,Temascalcingo,15085,31489,33964,65453
2015,Estado de México,15,Temascaltepec,15086,16318,16923,33241
2015,Estado de México,15,Temoaya,15087,48831,51674,100505
2015,Estado de México,15,Tenancingo,15088,47682,50447,98129
2015,Estado de México,15,Tenango del Aire,15089,5992,6177,12169
2015,Estado de México,15,Tenango del Valle,15090,41875,43775,85650
2015,Estado de México,15,Teoloyucan,15091,34809,35410,70219
2015,Estado de México,15,Teotihuacán,15092,28273,29104,57377
